fragment,number_of_rel,sum_difficulty,avg_difficulty
CCOC<=O>,87,86.84793837639673,0.9982521652459394
CC(C)(C)C,78,68.8373191761098,0.8825297330270487
cnnc-c,76,73.47303308910787,0.9667504353829983
cC<-O>CN,75,63.39382333674388,0.8452509778232518
ccC<-O>CN,75,63.39382333674387,0.8452509778232516
CCCC<=O>,74,64.56228070053506,0.8724632527099332
cOCCN,73,59.371919214541926,0.8133139618430401
c-c[nH],73,54.19263780015134,0.7423649013719361
cC<-O>CNC,72,60.85612992399695,0.8452240267221799
c<-X>cNC,72,56.43269892594403,0.783787485082556
cc(c)cC<=O>,72,54.68466044158488,0.75950917279979
ccc-c[nH],72,54.08990488530695,0.7512486789625965
CC(c)C,70,55.38831262470087,0.7912616089242982
C<=O>OC,69,60.14842662117893,0.8717163278431729
no,69,53.84434235193454,0.7803527877091962
CCCS,68,55.387581510027076,0.8145232575003982
cc(C)o,68,55.127574292896476,0.81069962195436
cc<-X>cNC,68,52.30488077876119,0.7691894232170763
ccnc[nH],67,51.577313389037386,0.7698106475975729
cc<-X>c(c)C<=O>,67,50.64489631024194,0.7558939747797304
CCCNS(<=O>)<=O>,66,52.92744532954647,0.8019309898416133
ccnn-c,66,51.43913084405767,0.7793807703645101
c<-N>ncnc,66,49.420997195353074,0.74880298780838
Ccc-c,65,50.76218122685272,0.7809566342592725
CCCC<-O>,65,49.37960828036727,0.7596862812364196
c<-X>cC<=O>NC,65,48.60527115330644,0.7477734023585606
ccCnc<=O>,65,47.445369617999276,0.729928763353835
CC[C@H](C)N,65,46.763243289784555,0.7194345121505316
ccC<=O>C,65,46.361573416207726,0.713254975633965
C=CC<=O>,65,45.50920658458256,0.7001416397628085
c<-O>c,64,66.09075918899576,1.0326681123280588
CC<=O>Ncn,64,54.15415236518008,0.8461586307059388
ncc[nH],64,50.588149478230335,0.790439835597349
c<-O>ccn,64,50.19025591700267,0.7842227487031668
CccOC,64,47.76754178544011,0.7463678403975017
c-co,63,57.71002909285051,0.916032207823024
CCccN,63,56.56384156801405,0.897838755047842
cc(-c)nn,63,55.598556151245084,0.8825167643054775
CSc,63,50.99669362609246,0.809471327398293
cno,63,49.885646552954526,0.7918356595707068
c<=O>c(c)cn,63,41.790098250473456,0.6633348928646581
cc(n)cs,62,50.928007085395784,0.8214194691192869
cocn,62,50.40902246644343,0.813048749458765
cncc[nH],62,49.965736598519676,0.8058989773954787
cCC<=O>Nc,62,49.96026522420527,0.8058107294226657
c<=O>s,62,49.172372340857535,0.7931027796912505
C<=O>CC(C)C,62,47.173764063210136,0.7608671623098409
cc(c)-c[nH],62,45.408373050985,0.7323931137255645
CCOcn,62,41.533476026134686,0.6698947746150756
CCccn,61,56.65604882275795,0.9287876856189828
cC<=O>NCc,61,50.14386156859854,0.8220305175180088
con,61,46.040707029995815,0.7547656890163248
cc-co,60,52.78040487610384,0.8796734146017307
cCncn,60,44.943158247955495,0.7490526374659249
CCSc,59,47.89423514136873,0.8117666973113344
cc[nH]cC,59,47.508082921089844,0.8052217444252516
c<=O>sc(c)c,59,46.8680460783654,0.7943736623451764
c[nH]c<=O>s,59,46.868046078365396,0.7943736623451761
ccsc<=O>,59,46.868046078365396,0.7943736623451761
c<=O>[nH]ccs,59,46.868046078365396,0.7943736623451761
cc[nH]c<=O>s,59,46.86804607836539,0.794373662345176
ccsc<=O>[nH],59,46.86804607836539,0.794373662345176
[nH]c<=O>s,59,46.86804607836538,0.7943736623451759
csc<=O>[nH],59,46.86804607836538,0.7943736623451759
c[nH]c<=O>sc,59,46.86804607836538,0.7943736623451759
CC(C)C<=O>N,59,44.68918073202784,0.7574437412208109
CCc[nH],59,43.49575839966158,0.7372162440620608
cc(c)c-c,59,41.03717162578112,0.6955452817929003
ccc-co,58,52.10345287650411,0.8983353944224846
c-ccC,58,47.29332403726666,0.815402138573563
cnn(c)-c,58,46.54647078121486,0.8025253582968079
c<-OMe>cccc<-OMe>,58,46.06974474083753,0.7943059438075436
cc(c<-X>)C<=O>,58,45.23640176338302,0.7799379614376383
C<=O>NCCO,58,44.481497654740195,0.7669223733575896
cc(C)c-c,57,56.070508685755456,0.9836931348378151
CC<-N>,57,49.36650050658069,0.8660789562558017
ccc(C)o,57,47.85534905609363,0.8395675272998883
[nH]ccs,57,46.66233158056711,0.8186373961503002
cc(s)c[nH],57,46.662331580567106,0.8186373961503001
cc[nH]c-c,57,42.29597592742152,0.74203466539336
c[nH]c-c,57,41.47468598895867,0.7276260699817311
cc-c[nH]c,57,41.47468598895866,0.727626069981731
cSc,56,47.8287957792202,0.8540856389146464
ccSC,56,46.90009191164247,0.8375016412793298
cC<=O>Ncn,56,45.575871387646075,0.8138548462079657
c<-O>cccC<-O>,55,47.147587874888686,0.8572288704525216
C<=O>COc,55,43.92075262665663,0.7985591386664842
ccOCC<=O>,55,43.920752626656615,0.7985591386664839
c<-N>ccnC,55,43.86854305268478,0.7976098736851778
CC<-O>c,55,43.175408987034885,0.785007436127907
c-cc-c,55,42.70351346937058,0.7764275176249196
cc-cc-c,55,42.70351346937056,0.7764275176249193
cnoc,55,42.08201123101582,0.7651274769275603
ccSc,54,46.934610853619645,0.8691594602522157
cccSc,54,46.934610853619645,0.8691594602522157
c<-X>cNCC,54,45.04307824277985,0.8341310785699972
c<-N>cC<=O>,54,44.47594340915804,0.8236285816510749
cccSC,54,44.43403703482532,0.8228525376819504
c<-O>ccnc,54,42.21500472768095,0.7817593468089065
cCNC<=O>c,53,42.3868306103827,0.7997515209506171
cc(c<-X>)C<=O>N,53,40.982284897111704,0.7732506584360699
cc(-c)cC,53,40.3196750675022,0.7607485861792869
nccco,53,39.45881270805224,0.7445059001519291
c<-O>c(c)[nH],52,42.66329950817038,0.820448067464815
cc<-O>c(c)[nH],52,42.66329950817038,0.820448067464815
c<-O>c[nH],52,42.663299508170375,0.8204480674648149
cc<-O>c[nH],52,42.663299508170375,0.8204480674648149
ccc(c<-O>)[nH],52,42.663299508170375,0.8204480674648149
ccc<-O>c[nH],52,42.663299508170375,0.8204480674648149
csc(c)c,51,44.63372289237043,0.8751710371053025
c<-X>ccNC,51,44.250130957926665,0.8676496266260131
C<=O>CCc,51,43.21747626355768,0.8474014953638761
c<-O>c([nH])cs,51,42.34870995360985,0.8303668618354872
c<=O>[nH]c(c<-O>)c,51,42.18616934853092,0.827179791147665
cc<-O>c[nH]c<=O>,51,42.18616934853092,0.827179791147665
c<-O>c[nH]c<=O>,51,42.18616934853091,0.8271797911476649
cCC<=O>,51,41.70741965375314,0.8177925422304537
C<-O>CCC,50,42.465387251959044,0.8493077450391808
c<-O>c[nH]c<=O>s,50,41.87157979397038,0.8374315958794076
c<=O>scc[nH],50,41.87157979397038,0.8374315958794076
c<-O>ccsc<=O>,50,41.87157979397038,0.8374315958794076
cccsc<=O>,50,41.87157979397038,0.8374315958794076
ccon,50,37.192907454385754,0.7438581490877151
Ccc(C)n,49,46.95310525151666,0.9582266377860543
coc-c,49,44.215687142724285,0.9023609620964139
c-cccN,49,43.032701873670135,0.8782184055851048
C<-O>ccc[nH],49,41.618967800145015,0.8493666897988779
cc([nH])cn,48,48.69701048835456,1.01452105184072
cC<-O>C,48,42.35061082147009,0.8823043921139603
cc(c)co,48,38.62285744291143,0.8046428633939882
ccno,48,37.47033608813144,0.7806320018360716
cccno,48,37.47033608813144,0.7806320018360716
cc-coc,47,41.47456862628179,0.882437630346421
CCC<-O>CC,47,41.22855343795675,0.8772032646373776
CC<-O>ccs,47,40.797309895746224,0.8680278701222601
cc(C<-O>)cs,47,40.79730989574622,0.8680278701222599
cc(s)cC<-O>,47,40.79730989574622,0.8680278701222599
C<-O>ccs,47,40.79730989574621,0.8680278701222598
c<=O>cc-c,47,34.43724747363549,0.7327073930560742
COC<=O>,46,46.45331788238823,1.0098547365736572
c<-C(=O)O>cc,46,43.345560942107696,0.9422948030892977
c<=O>sccC<-O>,46,40.320179736106745,0.8765256464371032
cccon,46,35.26616187409486,0.7666556929151057
c<=O>cc(n)n,45,37.439716182299556,0.8319936929399901
ccnoc,45,33.5773153776257,0.7461625639472378
cconc,45,33.5773153776257,0.7461625639472378
C<=O>NCcn,44,38.44136352141143,0.8736673527593507
cc(c)NS(<=O>)<=O>,43,45.30987348743295,1.0537179880798362
cc<-NO2>,43,42.90737428864569,0.9978459136894346
cc<-NO2>c,42,38.8750456611713,0.9255963252659833
c<-O>cC,41,43.9798654588699,1.0726796453382903
ccc<-NO2>c,41,38.356032040009005,0.9355129765855855
cnco,41,36.90720588284752,0.9001757532401834
cc(c)-co,41,36.55093341821929,0.8914861809321777
CNC<=O>OC,41,35.172077821893204,0.8578555566315416
cc<-O>n,40,36.72875051383293,0.9182187628458232
CCCOC<=O>,39,39.06719843422042,1.0017230367748826
ccc<-NO2>,39,38.86706985803756,0.9965915348214759
[nH]ccn,38,40.53929551146478,1.0668235660911785
cc(-c)o,37,33.901662458905776,0.9162611475379939
C<=O>Ncs,37,33.127003331079706,0.8953244143535055
cc(C<=O>)n,37,32.85993574683027,0.8881063715359532
cccc<-NO2>,36,36.6502326505636,1.0180620180712112
cccc<-NO2>c,35,34.023906783720015,0.9721116223920004
C<=O>Nc(n)s,34,31.16382545402321,0.916583101588918
CC<=O>O,30,36.154744245642426,1.2051581415214143
CC<=O>OC,27,32.72736817253493,1.2121247471309233
