fragment,number_of_rel,sum_difficulty,avg_difficulty
cc<-X>cNC,68,52.30488077876119,0.7691894232170763
ccnc[nH],67,51.577313389037386,0.7698106475975729
c<=O>nCc,67,49.38120001532651,0.7370328360496494
ccC<=O>C,65,4125764.503264422,63473.30005022188
CCCC<-O>,65,49.37960828036727,0.7596862812364196
c<-X>cC<=O>NC,65,48.60527115330644,0.7477734023585606
ccCnc<=O>,65,47.445369617999276,0.729928763353835
cc-c(c)s,65,46.204613319336076,0.7108402049128627
c<-O>c,64,66.09075918899576,1.0326681123280588
ncc[nH],64,50.588149478230335,0.790439835597349
csc(c)-c,64,47.53684830772505,0.7427632548082039
ccncO,64,45.90656581749441,0.7172900908983502
cccC<=O>C,63,4125762.7910282854,65488.298270290245
c-co,63,57.71002909285051,0.916032207823024
CCccN,63,56.56384156801405,0.897838755047842
CSc,63,50.99669362609246,0.809471327398293
cno,63,49.885646552954526,0.7918356595707068
CSc(n)n,63,43.89518235829046,0.6967489263220709
cc(n)cs,62,50.928007085395784,0.8214194691192869
cncc[nH],62,49.965736598519676,0.8058989773954787
cCC<=O>Nc,62,49.96026522420527,0.8058107294226657
C<=O>CC(C)C,62,47.173764063210136,0.7608671623098409
cc(c)-c[nH],62,45.408373050985,0.7323931137255645
CCOcn,62,41.533476026134686,0.6698947746150756
CCccn,61,56.65604882275795,0.9287876856189828
cC<=O>NCc,61,50.14386156859854,0.8220305175180088
con,61,46.040707029995815,0.7547656890163248
cc-co,60,52.78040487610384,0.8796734146017307
cCncn,60,44.943158247955495,0.7490526374659249
c<=O>n(C)cn,60,44.12622647236608,0.735437107872768
NccC<=O>N,60,42.805221679808874,0.7134203613301479
ccc<-C(=O)N>c,60,41.84868179931929,0.6974780299886548
nc(n)CN,60,39.31293319243686,0.655215553207281
CCSc,59,47.89423514136873,0.8117666973113344
cc[nH]cC,59,47.508082921089844,0.8052217444252516
CccnC,59,46.07566141253077,0.780943413771708
CC(C)C<=O>N,59,44.68918073202784,0.7574437412208109
C<-O>CC,59,44.29265197767074,0.7507229148757752
NcncS,59,39.99374306131253,0.677860051886653
ccc-co,58,52.10345287650411,0.8983353944224846
c-ccC,58,47.29332403726666,0.815402138573563
c<-OMe>cccc<-OMe>,58,46.06974474083753,0.7943059438075436
cc(c<-X>)C<=O>,58,45.23640176338302,0.7799379614376383
CCC<-O>C,58,44.70116057440329,0.7707096650759188
C<-O>Cn,58,44.636145989238585,0.7695887239523894
cCS,58,42.539454958409294,0.7334388785932637
cncOC,58,40.155945593939755,0.6923438895506855
ncnc[nH],58,36.626885423378965,0.6314980245410167
CC<-N>,57,4125767.5081915115,72381.886108623
cc(C)c-c,57,56.070508685755456,0.9836931348378151
ccc(C)o,57,47.85534905609363,0.8395675272998883
cc[nH]c-c,57,42.29597592742152,0.74203466539336
ccCS,57,41.65693770525473,0.7308234685132409
cSc,56,47.8287957792202,0.8540856389146464
ccSC,56,46.90009191164247,0.8375016412793298
cC<=O>Ncn,56,45.575871387646075,0.8138548462079657
nnn,56,41.10962849410288,0.7341005088232657
csccC,56,39.31601107892633,0.7020716264093988
c<-N>ccnC,55,43.86854305268478,0.7976098736851778
cnoc,55,42.08201123101582,0.7651274769275603
cc<=O>nCc,55,40.905113567221974,0.7437293375858541
cnnn,55,40.710856883151365,0.7401973978754793
c<-N>cC<=O>,54,4125762.6176344138,76403.01143767433
ccSc,54,46.934610853619645,0.8691594602522157
cccSc,54,46.934610853619645,0.8691594602522157
c<-X>cNCC,54,45.04307824277985,0.8341310785699972
cnCC<-O>,54,42.83934052822557,0.7933211208930661
c<-O>ccnc,54,42.21500472768095,0.7817593468089065
cc[nH]cn,53,44.58879513076024,0.8412980213350989
cCNC<=O>c,53,42.3868306103827,0.7997515209506171
c<-N>cc(n)n,53,41.004451442725326,0.7736688951457609
cc(c<-X>)C<=O>N,53,40.982284897111704,0.7732506584360699
C<-N>CCN,53,34.091052249894396,0.6432274009414037
C<-N>CCNC,53,34.091052249894396,0.6432274009414037
cc(c)Sc,52,45.3202128529348,0.8715425548641308
cc(n)c<-N>n,52,39.37651011085892,0.7572405790549793
c<-N>cc(c)n,52,36.99041790011782,0.7113541903868812
csc(c)c,51,44.63372289237043,0.8751710371053025
c<-X>ccNC,51,44.250130957926665,0.8676496266260131
C<=O>CCc,51,43.21747626355768,0.8474014953638761
ccnCC<-O>,51,41.71005281614722,0.8178441728656317
cCC<=O>,51,41.70741965375314,0.8177925422304537
c<-OMe>cccC,51,37.85761233266758,0.7423061241699526
C<-O>CCC,50,42.465387251959044,0.8493077450391808
cnC<-C(=O)O>,50,36.77503911486897,0.7355007822973794
ccnC<-C(=O)O>,50,36.77503911486897,0.7355007822973794
Ccc(C)n,49,46.95310525151666,0.9582266377860543
coc-c,49,44.215687142724285,0.9023609620964139
c-cccN,49,43.032701873670135,0.8782184055851048
c<-C(=O)O>c,49,42.515044091653685,0.8676539610541568
ccScc,49,42.31416280414792,0.8635543429417942
c<-OMe>ccC,49,36.86169054285463,0.752279398833768
cc([nH])cn,48,48.69701048835456,1.01452105184072
cC<-O>C,48,42.35061082147009,0.8823043921139603
c<-N>s,48,40.744574121211876,0.8488452941919141
CCC<-O>CC,47,41.22855343795675,0.8772032646373776
CCcnC,47,40.420814928516336,0.8600173389046029
c<-OMe>ccc-c,47,36.578561535752236,0.7782672667181327
COC<=O>,46,46.45331788238823,1.0098547365736572
c<-C(=O)O>cc,46,43.345560942107696,0.9422948030892977
CC(C)CO,46,35.010674675395364,0.7611016233781601
c<-OMe>cc<-OMe>,45,38.41690062766651,0.8537089028370335
ncccs,45,32.41432212801816,0.7203182695115148
C<=O>NCcn,44,38.44136352141143,0.8736673527593507
C<=O>NS(<=O>)<=O>,44,33.53927239136597,0.762256190712863
cccc<-C(=O)N>c,44,30.899934990572106,0.7022712497857296
CCC<-N>,43,4125756.081026813,95947.81583783287
CCC<-C(=O)O>,43,4125746.367246502,95947.58993596517
cc(c)NS(<=O>)<=O>,43,45.30987348743295,1.0537179880798362
cc<-NO2>,43,42.90737428864569,0.9978459136894346
nc<-N>s,43,36.86399657609621,0.8573022459557259
cc<-NO2>c,42,38.8750456611713,0.9255963252659833
CC=CC,42,34.93830700698393,0.8318644525472365
CC(C)c,42,32.437416482097014,0.7723194400499289
CCCCC<=O>,41,4125753.673025094,100628.1383664657
c<-O>cC,41,43.9798654588699,1.0726796453382903
ccc<-NO2>c,41,38.356032040009005,0.9355129765855855
cnco,41,36.90720588284752,0.9001757532401834
cc(c)-co,41,36.55093341821929,0.8914861809321777
csc<-N>n,41,35.484292332731584,0.8654705447007703
cocC,41,35.325108647004036,0.8615880157805863
c<-X>cNC<=O>,41,34.4037919473298,0.8391168767641415
CC<-O>(C)C,41,33.15082738488381,0.808556765484971
c<-OMe>cc(c)C,41,31.051959674635615,0.7573648701130637
ccS(<=O>)<=O>NC<=O>,41,30.504416566255422,0.7440101601525713
C<=O>NS(<=O>)<=O>c,41,30.504416566255408,0.7440101601525709
cc<-O>n,40,36.72875051383293,0.9182187628458232
c<=O>ncC,40,32.30721528187499,0.8076803820468748
CC[C@@H](C<=O>)N,39,4125748.823812308,105788.43137980276
CCCOC<=O>,39,39.06719843422042,1.0017230367748826
ccc<-NO2>,39,38.86706985803756,0.9965915348214759
[nH]ccn,38,40.53929551146478,1.0668235660911785
CcnCc,38,35.62799029871368,0.9375786920714125
ccc<-NO2>cc,38,35.12800385073841,0.9244211539668002
ncc<-N>n,38,33.64083944215823,0.8852852484778482
C<-O>COC,38,33.42403893624295,0.8795799720063935
c<-N>cC<=O>N,38,33.17017835621903,0.8728994304268166
CCC(c)N,38,32.456713633296786,0.8541240429814944
Nccs,38,28.75982561150121,0.7568375160921371
C<=O>NC(C)C<=O>,37,4125747.644821115,111506.69310327337
CN(C)c,37,34.537716519599215,0.9334517978270058
C<=O>Ncs,37,33.127003331079706,0.8953244143535055
nc(N)cs,37,26.709633114507795,0.7218819760677783
cccc<-NO2>,36,36.6502326505636,1.0180620180712112
ccc<-O>n,36,32.5915039645315,0.9053195545703194
cc<-OMe>cc<-OMe>c,36,31.523070042226713,0.8756408345062976
cc<=O>ncC,36,28.438441082923593,0.7899566967478776
CNccs,36,27.98425108666174,0.777340307962826
cccc<-NO2>c,35,34.023906783720015,0.9721116223920004
CCC<-O>(C)C,35,29.478838780597556,0.8422525365885016
c<=O>n(c)Cc,35,26.85055382931079,0.7671586808374512
cc(s)cN,35,25.934058589668325,0.7409731025619521
C<=O>Nc(n)s,34,31.16382545402321,0.916583101588918
C<-O>CCCC,34,30.658045102628318,0.9017072089008329
c[nH]cn,33,33.31799114626322,1.0096360953413097
CNC<=O>NC,33,30.309903244756782,0.9184819165077813
CCcs,33,29.925761928769674,0.9068412705687781
cc-ccs,33,25.21515074400593,0.7640954770910887
cc<-X>cNC<=O>,32,29.111481812608723,0.9097338066440226
C<=O>cs,32,27.4511033454784,0.8578469795462
cnCO,31,30.19893961943893,0.9741593425625462
cnCOC,31,30.19893961943893,0.9741593425625462
nCO,31,30.198939619438924,0.974159342562546
COCn,31,30.198939619438924,0.974159342562546
nccS,31,28.01676986688709,0.9037667698995835
